rate,btl_delay,cca,test_duration,flows,interval,omit,aqm,buffer_factor,trial,jfi,loss_percentage,utilization,buffer_occupancy
100,10,bbr2-cubic,120,1,0.1,180,FIFO,6,2,0.9318658469106328,0.0615577099605369,95.68257174894792,87.9488
100,10,bbr2-cubic,120,1,0.1,180,FIFO,6,3,0.8970852440371057,0.0769552270088355,95.76997283308408,87.07266666666666
100,10,bbr2-cubic,120,1,0.1,180,FIFO,7,1,0.8112803575807468,0.0724322674752836,95.81365104120438,86.85942857142857
100,10,bbr2-cubic,120,1,0.1,180,FIFO,7,2,0.9140770490156278,0.0616003393114837,95.77869320112818,87.50788571428572
100,10,bbr2-cubic,120,1,0.1,180,FIFO,7,3,0.869582852985015,0.066463765849077,95.69123745473593,88.29885714285714
100,10,bbr-bbr,120,1,0.1,180,FIFO,1,1,0.525363741616106,15.533236240834276,94.2495161537162,93.4608
100,10,bbr-bbr,120,1,0.1,180,FIFO,1,2,0.560773306110735,15.672210700526373,94.93108715990084,93.5264
100,10,bbr-bbr,120,1,0.1,180,FIFO,1,3,0.5360921938012617,15.988033966870058,94.3805850754898,93.4544
100,10,bbr-bbr,120,1,0.1,180,FIFO,2,1,0.4769207264192697,14.292421302589084,93.7426886343808,94.57
100,10,bbr-bbr,120,1,0.1,180,FIFO,2,2,0.4865406819059251,14.563534981683292,94.5553398767499,94.5268
100,10,bbr-bbr,120,1,0.1,180,FIFO,2,3,0.4849264268104236,14.745132172081004,93.88250873878944,94.4392
100,10,bbr-bbr,120,1,0.1,180,FIFO,3,1,0.5545265940279664,13.327196130493638,94.057293651727,94.99626666666668
100,10,bbr-bbr,120,1,0.1,180,FIFO,3,2,0.4909240933674615,12.316732339360426,93.71641505200871,94.91546666666666
100,10,bbr-bbr,120,1,0.1,180,FIFO,3,3,0.4943755330265075,12.741581150034229,93.93496661886309,95.0848
100,10,bbr-bbr,120,1,0.1,180,FIFO,4,1,0.973934273382446,12.259926604759634,93.83008863637104,94.7296
100,10,bbr-bbr,120,1,0.1,180,FIFO,4,2,0.892243801981836,12.705645008661516,93.89999478079888,94.7628
100,10,bbr-bbr,120,1,0.1,180,FIFO,4,3,0.9068088079038074,12.244442520223284,93.82133960795883,94.6248
100,10,bbr-bbr,120,1,0.1,180,FIFO,5,1,0.974645108517288,5.479017480319449,93.7339590254523,93.99808
100,10,bbr-bbr,120,1,0.1,180,FIFO,5,2,0.9650986567094852,4.975714677951091,93.72522947638842,94.06448
100,10,bbr-bbr,120,1,0.1,180,FIFO,5,3,0.9510569138145734,6.038400206562109,93.75993319964734,94.572
100,10,bbr-bbr,120,1,0.1,180,FIFO,6,1,0.9765554070333572,0.0364998526596636,93.69900837379215,86.7848
100,10,bbr-bbr,120,1,0.1,180,FIFO,6,2,0.9686006808533468,0.0354962923826634,93.81261468384766,86.42453333333333
100,10,bbr-bbr,120,1,0.1,180,FIFO,6,3,0.9620267488154494,0.0482575612389295,93.66407841500482,87.0196
100,10,bbr-bbr,120,1,0.1,180,FIFO,7,1,0.9827795737479308,0.0,93.70776516370503,73.48422857142857
100,10,bbr-bbr,120,1,0.1,180,FIFO,7,2,0.9648592021071386,0.0,93.64658396179377,73.22274285714286
100,10,bbr-bbr,120,1,0.1,180,FIFO,7,3,0.9720433256370968,0.0,93.75144395698926,72.91154285714286
100,10,bbr-bbr,120,1,0.1,180,FIFO,8,1,0.9661725081171072,0.0,93.77765049893075,64.2668
100,10,bbr-bbr,120,1,0.1,180,FIFO,8,2,0.9698265457750884,0.0,93.75143940872006,64.6365
100,10,bbr-bbr,120,1,0.1,180,FIFO,8,3,0.9754207448808244,0.0,93.83008319890467,64.276
100,10,bbr-bbr2,120,1,0.1,180,FIFO,8,1,0.6445779423577744,0.0,94.17961837523968,57.2979
